ticker,RS,rating,theme,feature,reason
VRT,96,10,AI 散熱/電源管理,資料中心液冷與基礎設施龍頭,AI 算力爆發對散熱的剛需使其成為市場核心標的，成長性極強。
FIX,97,9,基礎設施/資料中心散熱,提供資料中心機械與電氣系統安裝服務,資料中心建設熱潮的直接受益者，訂單能見度極高，業績穩健。
POWL,97,9,電力設備/資料中心,專注於配電設備與開關櫃,AI 資料中心對電力系統要求極高，公司訂單爆發式增長且利潤率優異。
MOD,95,9,熱管理/資料中心,提供高效能散熱解決方案,從車用成功跨足資料中心液冷，轉型極其成功，獲利能力大幅提升。
GEV,95,9,能源轉型/電網,從 GE 拆分出的能源業務，涵蓋風能與電網,全球電網更新與脫碳趨勢的領頭羊，拆分後營運效率顯著提升。
ATI,95,9,航太材料/特種合金,領先的航空發動機材料供應商,航空業復甦與國防需求帶動特種金屬供不應求，定價權極強。
VIST,93,9,能源/阿根廷頁岩油,阿根廷 Vaca Muerta 盆地領先開發商,受惠於阿根廷能源改革與產量高速增長，是能源股中的高成長標的。
AMAT,93,9,半導體設備/晶圓製造,全球最大半導體設備供應商,受惠於先進製程與 AI 晶片擴產，其技術在材料工程領域無可取代。
CLS,93,9,電子製造/AI 伺服器,提供 AI 伺服器與網路設備組裝服務,成功轉型至高利潤的 AI 基礎設施領域，業績與估值雙重提升。
PWR,91,9,電力基礎設施/電網更新,美國最大電力承包商,受惠於全美電網現代化與再生能源併網需求，訂單量極大。
KLAC,91,9,半導體設備/檢測,半導體製程控制與檢測設備壟斷者,隨著製程微縮至 2nm，檢測需求呈指數級增長，護城河極深。
CW,91,9,國防/核能,關鍵國防組件與核能技術供應商,受惠於美國海軍擴軍與核能復興趨勢，訂單能見度長達數年。
CRS,90,9,特種合金/航太,高性能合金製造商，供應航空發動機,航太供應鏈極度吃緊，公司產能滿載且具備強大定價權。
WDC,99,8,存儲設備/NAND Flash,硬碟與快閃記憶體雙龍頭，正進行業務拆分,記憶體價格回升且 AI 伺服器帶動大容量硬碟需求，拆分有助於價值重估。
